Hop Variety,Crop Year,Origin,Series,Published,Variety Background / Reported Character,Source URL
Callista,2020,Germany,Pale Ale,2022-11-17,"Hüll Hop Research Center, released 2016; low alpha aroma hop — stone fruit, citrus, berry, cream caramel",https://brulosophy.com/2022/11/17/the-hop-chronicles-callista-2020-pale-ale/
Cascade,2016,USA,Pale Ale,2016-11-03,Imparts floral and citrus character; many tasters perceived grapefruit in particular,https://brulosophy.com/2016/11/03/the-hop-chronicles-cascade/
Cascade LUPOMAX,2021,USA,Pale Ale,2022-12-01,,https://brulosophy.com/2022/12/01/the-hop-chronicles-cascade-lupomax-2021-pale-ale/
Cashmere,2018,USA,Pale Ale,2019-10-03,,https://brulosophy.com/2019/10/03/the-hop-chronicles-cashmere-2018/
Centennial,2015,USA,Pale Ale,,,https://brulosophy.com/the-hop-chronicles/the-hop-chronicles-centennial/
Centennial LUPOMAX,2021,USA,Pale Ale,2023-05-19,"Top blind-taster descriptors: citrus, tropical fruit, pine, floral",https://brulosophy.com/2023/05/19/the-hop-chronicles-centennial-lupomax-2021-pale-ale/
Chinook,2020,USA,Pale Ale,2021-04-15,Bred by the USDA hop breeding program and released in 1985,https://brulosophy.com/2021/04/15/the-hop-chronicles-chinook-2020/
Citra,2017,USA,Pale Ale,2018-04-05,Released by Hop Breeding Company in 2007; citrus and tropical fruit with solid bittering potential,https://brulosophy.com/2018/04/05/the-hop-chronicals-citra-2017/
Citra LUPOMAX,2021,USA,Pale Ale,2022-06-09,"Top blind-taster descriptors: citrus, tropical fruit",https://brulosophy.com/2022/06/09/the-hop-chronicles-citra-lupomax-2021/
Comet,2018,USA,Pale Ale,2019-12-05,,https://brulosophy.com/2019/12/05/the-hop-chronicles-comet-2018/
Crystal,2017,USA,Pale Ale,2019-07-04,,https://brulosophy.com/2019/07/04/the-hop-chronicles-crystal-2017/
CTZ,2018,USA,Pale Ale,2020-01-02,Columbus/Tomahawk/Zeus; author called it his favorite Hop Chronicles beer to that date,https://brulosophy.com/2020/01/02/the-hop-chronicles-ctz-2018/
CTZ,2022,USA,Pale Lager,2023-12-28,"Top descriptors: tropical fruit, citrus, apple/pear; lowest rated: onion/garlic, dank/catty, earthy/woody",https://brulosophy.com/2023/12/28/the-hop-chronicles-ctz-2022-pale-lager/
Dr. Rudi,2020,New Zealand,Pale Ale,2022-02-03,Released 1976 by the NZ Horticulture Research Center as SuperAlpha,https://brulosophy.com/2022/02/03/the-hop-chronicles-dr-rudi-2020/
East Kent Golding,2018,UK,Pale Ale,2020-11-19,First released 1790; a staple of British ale,https://brulosophy.com/2020/11/19/the-hop-chronicles-east-kent-golding-2018/
Eclipse,2020,Australia,Pale Ale,2021-11-04,,https://brulosophy.com/2021/11/04/the-hop-chronicles-eclipse-2020/
Ekuanot,2015,USA,Pale Ale,2016-09-01,Released as Equinox by Hop Breeding Company in 2014; renamed Ekuanot after a trademark dispute,https://brulosophy.com/2016/09/01/the-hop-chronicles-hbc-366-formerly-equinox/
Ekuanot LUPOMAX,2020,USA,Pale Ale,2021-05-20,,https://brulosophy.com/2021/05/20/the-hop-chronicles-ekuanot-lupomax-2020/
El Dorado LUPOMAX,2021,USA,Pale Ale,2022-10-20,"Bred by CLS Farms, released 2010. Top blind-taster descriptors: tropical fruit, citrus, stone fruit",https://brulosophy.com/2022/10/20/the-hop-chronicles-el-dorado-lupomax-2021-pale-ale/
Elani,2023,USA,Pale Ale,2024-09-16,Discovered in Idaho's St. Joe River Valley by Yakima Quality Hops; likely an open cross-pollination of heirloom plants,https://brulosophy.com/2024/09/16/the-hop-chronicles-elani-2023-pale-ale/
Enigma,2017,Australia,Pale Ale,2018-06-07,,https://brulosophy.com/2018/06/07/the-hop-chronicles-enigma-2017/
French Fuggle,2021,France,Pale Ale,2023-04-07,Alsace-grown version of the classic British Fuggle; little published information available,https://brulosophy.com/2023/04/07/the-hop-chronicles-french-fuggle-2021-pale-ale/
Galaxy,2015,Australia,Pale Ale,2016-10-06,Tasters noted the bitterness can be harsh relative to its citrus aromatics,https://brulosophy.com/2016/10/06/the-hop-chronicles-galaxy/
Galaxy,2022,Australia,Pale Lager,2023-11-02,,https://brulosophy.com/2023/11/02/the-hop-chronicles-galaxy-2022-pale-lager/
German Northern Brewer,2021,Germany,Pale Lager,2022-10-06,,https://brulosophy.com/2022/10/06/the-hop-chronicles-german-northern-brewer-2021-pale-lager/
German Perle,2017,Germany,Pale Ale,2018-05-03,,https://brulosophy.com/2018/05/03/the-hop-chronicles-german-perle-2017/
German Tettnanger,2017,Germany,Pale Ale,2019-01-03,Standard THC recipe adapted to better suit a noble hop,https://brulosophy.com/2019/01/03/the-hop-chronicles-german-tettnanger-2017/
Green Bullet,2021,New Zealand,Pale Ale,2023-05-05,First released by NZ's DSIR in 1972,https://brulosophy.com/2023/05/05/the-hop-chronicles-green-bullet-2021-pale-ale/
Hallertau Blanc,2018,Germany,Pale Ale,2019-04-04,"Released by Hop Research Center Hüll in 2012; Sauvignon Blanc-like. Blind tasters: citrus, tropical fruit, strong apple/pear aroma",https://brulosophy.com/2019/04/04/the-hop-chronicles-hallertau-blanc-2018/
Hallertau Mittelfrüh,2020,Germany,Pale Ale,2021-07-15,,https://brulosophy.com/2021/07/15/the-hop-chronicles-hallertau-mittelfruh-2020/
Harlequin,2023,UK,Pale Ale,2025-10-13,"Peach, passion fruit, pineapple. Top blind-taster descriptors: citrus, tropical fruit",https://brulosophy.com/2025/10/13/the-hop-chronicles-harlequin-2023-pale-ale/
HBC 586 LUPOMAX,2021,USA,Pale Ale,2022-05-19,"Experimental HBC variety; mango/guava/citrus. Top blind-taster descriptors: citrus, tropical fruit",https://brulosophy.com/2022/05/19/the-hop-chronicles-hbc-586-lupomax-2021/
Hersbrucker,2021,Germany,Pale Lager,2023-03-03,,https://brulosophy.com/2023/03/03/the-hop-chronicles-hersbrucker-2021-pale-lager/
Huell Melon,2014,Germany,Pale Ale,2017-01-05,"Bred at the Hop Research Institute of Hüll, parentage unknown; mild melon and strawberry",https://brulosophy.com/2017/01/05/the-hop-chronicles-huell-melon/
Idaho 7,2020,USA,Pale Ale,2022-06-23,"Orange, tangerine, black tea, pine",https://brulosophy.com/2022/06/23/the-hop-chronicles-idaho-7-2020/
Idaho Gem,2020,USA,Pale Ale,2021-03-04,,https://brulosophy.com/2021/03/04/the-hop-chronicles-idaho-gem-2020/
Kazbek,2020,Czech Republic,Pale Ale,2022-07-07,"'Super Saaz'; Saaz progeny — citrus, sweet fruit, berry, noble spice, low alpha",https://brulosophy.com/2022/07/07/the-hop-chronicles-kazbek-2020/
Kazbek,2021,Czech Republic,Pale Lager,2023-07-21,"'Super Saaz'; citrus, sweet fruit, berry, noble spice, low alpha",https://brulosophy.com/2023/07/21/the-hop-chronicles-kazbek-2021-pale-lager/
Kohatu,2020,New Zealand,Pale Ale,2021-10-21,Released 2011 by NZ Plant & Food Research; intense tropical fruit and pungent pine,https://brulosophy.com/2021/10/21/the-hop-chronicles-kohatu-2020/
Lemondrop,2016,USA,Pale Ale,2017-06-01,"Bred by Hopsteiner in 2001; strong lemon balanced by mint, green tea and melon",https://brulosophy.com/2017/06/01/the-hop-chronicles-lemondrop/
Loral,2015,USA,Pale Ale,2017-03-23,,https://brulosophy.com/2017/03/23/the-hop-chronicles-loral/
Mackinac,2021,USA,Pale Ale,2023-07-07,"First cultivar released by the Great Lakes Hops breeding program, 2014",https://brulosophy.com/2023/07/07/the-hop-chronicles-mackinac-2021-pale-ale/
Magnum,2016,Germany,Pale Ale,2017-02-02,Bred from a Galena mother crossed with a German male,https://brulosophy.com/2017/02/02/the-hop-chronicles-magnum/
Mandarina Bavaria,2018,Germany,Pale Ale,2020-03-05,"Hüll, released 2012; parentage includes Cascade, Huell Melon and Hallertau Blanc",https://brulosophy.com/2020/03/05/the-hop-chronicles-mandarina-bavaria-2018/
McKenzie LUPOMAX,2023,USA,Pale Ale,2025-08-18,"Top blind-taster descriptors: citrus, tropical fruit, stone fruit",https://brulosophy.com/2025/08/18/the-hop-chronicles-mckenzie-lupomax-2023-pale-ale/
Melba,2016,Australia,Pale Ale,2017-10-05,,https://brulosophy.com/2017/10/05/the-hop-chronicles-melba/
Mosaic,2016,USA,Pale Ale,2017-02-16,"Descriptors included resinous, tropical fruit and citrus",https://brulosophy.com/2017/02/16/the-hop-chronicles-mosaic/
Motueka,2016,New Zealand,Pale Ale,2017-07-06,Said to impart lime citrus character,https://brulosophy.com/2017/07/06/the-hop-chronicles-motueka/
Motueka,2021,New Zealand,Pale Lager,2022-09-01,,https://brulosophy.com/2022/09/01/the-hop-chronicles-motueka-2021-pale-lager/
Moutere,2018,New Zealand,Pale Ale,2020-04-09,Dual-purpose hop released by NZ Plant & Food Research in 2015,https://brulosophy.com/2020/04/09/the-hop-chronicles-moutere-2018/
Mt. Hood,2024,USA,Pale Ale,2025-03-31,Hallertau Mittelfrüh derivative; viewed by some as an American noble hop,https://brulosophy.com/2025/03/31/the-hop-chronicles-mt-hood-2024-pale-ale/
Mystic,2020,UK,Pale Ale,2024-12-23,Recent release from the Charles Faram Hop Development Programme,https://brulosophy.com/2024/12/23/the-hop-chronicles-mystic-2020-pale-ale/
Nectaron,2021,New Zealand,Pale Ale,2023-02-03,"Bred 2004 by NZ Plant & Food Research, released 2020. Top descriptors: tropical fruit, citrus, stone fruit, floral in flavor",https://brulosophy.com/2023/02/03/the-hop-chronicles-nectaron-2021-pale-ale/
Nectaron,2022,New Zealand,Pale Lager,2023-09-07,"Pineapple, peach, grapefruit",https://brulosophy.com/2023/09/07/the-hop-chronicles-nectaron-2022-pale-lager/
Nelson Sauvin,2018,New Zealand,Pale Ale,2019-08-01,,https://brulosophy.com/2019/08/01/the-hop-chronicles-nelson-sauvin-2018/
Northern Brewer,2021,Germany,Pale Ale,2024-02-05,,https://brulosophy.com/2024/02/05/the-hop-chronicles-northern-brewer-2021-pale-ale/
Nugget,2016,USA,Pale Ale,2017-09-21,,https://brulosophy.com/2017/09/21/the-hop-chronicles-nugget/
Pacific Jade,2022,New Zealand,Pale Ale,2024-04-15,Released by NZ HortResearch in 2004; herbal and citrus character,https://brulosophy.com/2024/04/15/the-hop-chronicles-pacific-jade-2022-pale-ale/
Pacifica,2020,New Zealand,Pale Ale,2022-01-20,,https://brulosophy.com/2022/01/20/the-hop-chronicles-pacifica-2020/
Perle,2022,Germany,Pale Lager,2026-02-02,,https://brulosophy.com/2026/02/02/the-hop-chronicles-perle-2022-pale-lager/
Rakau,2018,New Zealand,Pale Ale,2019-06-06,Bred by the New Zealand Hop Breeding Programme,https://brulosophy.com/2019/06/06/the-hop-chronicles-rakau-2018/
Riwaka,2020,New Zealand,Pale Ale,2021-11-18,"Released by New Zealand Hops in 1997; high oil content, pungent citrus",https://brulosophy.com/2021/11/18/the-hop-chronicles-riwaka-2020/
Riwaka,2022,New Zealand,Pale Lager,2023-04-21,,https://brulosophy.com/2023/04/21/the-hop-chronicles-riwaka-2021-pale-lager/
Saaz,2020,Czech Republic,Pale Lager,2023-01-06,,https://brulosophy.com/2023/01/06/the-hop-chronicles-saaz-2020-pale-lager/
Sabro,2018,USA,Pale Ale,2019-05-02,,https://brulosophy.com/2019/05/02/the-hop-chronicles-sabro-2018/
Saphir,2020,Germany,Pale Ale,2022-08-18,,https://brulosophy.com/2022/08/18/the-hop-chronicles-saphir-2020-pale-ale/
Simcoe,2016,USA,Pale Ale,2018-03-01,,https://brulosophy.com/2018/03/01/the-hop-chronicles-simcoe-2016/
Sonnet,2020,UK,Pale Ale,2022-05-05,,https://brulosophy.com/2022/05/05/the-hop-chronicles-sonnet-2020/
Southern Star,2019,South Africa,Pale Ale,,,https://brulosophy.com/the-hop-chronicles/the-hop-chronicles-southern-star-2019/
Spalter Select,2022,Germany,Pale Lager,2023-06-02,"Bred at Hüll (Hallertau Mittelfrüh x Spalt), released 1993; spicy and floral Spalt character with good disease tolerance",https://brulosophy.com/2023/06/02/the-hop-chronicles-spalter-select-2022-pale-lager/
Sterling,2018,USA,Pale Ale,2020-02-06,,https://brulosophy.com/2020/02/06/the-hop-chronicles-sterling-2018/
Strata,2018,USA,Pale Ale,2019-09-05,Relatively new variety developed by Oregon's Indie Hops,https://brulosophy.com/2019/09/05/the-hop-chronicles-strata-2018/
Styrian Wolf,2021,Slovenia,Pale Ale,2024-06-24,"Slovenian Institute of Hop Research and Brewing; high alpha and oil — pungent mango, lemon, floral",https://brulosophy.com/2024/06/24/the-hop-chronicles-styrian-wolf-2021-pale-ale/
Summit,2017,USA,Pale Ale,2018-08-02,,https://brulosophy.com/2018/08/02/the-hop-chronicles-summit-2017/
Superdelic,2024,New Zealand,Pale Ale,2025-06-23,"Top blind-taster descriptors: citrus, tropical fruit",https://brulosophy.com/2025/06/23/the-hop-chronicles-superdelic-2024-pale-ale/
Superdelic,2024,New Zealand,Pale Lager,2025-02-03,,https://brulosophy.com/2025/02/03/the-hop-chronicles-superdelic-2024-pale-lager/
Tahoma,2017,USA,Pale Ale,2019-02-07,,https://brulosophy.com/2019/02/07/the-hop-chronicles-tahoma-2017/
Taiheke,2020,New Zealand,Pale Ale,2022-03-10,USDA-released 1972 (Fuggle x Serebrianka-derived male); bright grapefruit and lime,https://brulosophy.com/2022/03/10/the-hop-chronicles-taiheke-2020/
Talus,2019,USA,Pale Ale,2021-01-07,Rated highly for citrus and tropical fruit,https://brulosophy.com/2021/01/07/the-hop-chronicles-talus-2019/
Talus LUPOMAX,2021,USA,Pale Ale,2022-12-15,,https://brulosophy.com/2022/12/15/the-hop-chronicles-talus-lupomax-2021-pale-ale/
Target,2021,UK,Pale Ale,2023-11-30,Dual-purpose English variety released in 1972 with solid bittering potential,https://brulosophy.com/2023/11/30/the-hop-chronicles-target-2021-pale-ale/
Tettnanger,2022,Germany,Pale Lager,2023-06-16,,https://brulosophy.com/2023/06/16/the-hop-chronicles-tettnanger-2022-pale-lager/
Topaz,2020,Australia,Pale Ale,2022-03-24,"Created 1985 by Hop Products Australia, commercialized 1997; high alpha, lychee/tropical/resinous",https://brulosophy.com/2022/03/24/the-hop-chronicles-topaz-2020/
Triumph,2020,USA,Pale Ale,2020-12-03,,https://brulosophy.com/2020/12/03/the-hop-chronicles-triumph-2020/
US Goldings,2020,USA,Pale Ale,2022-09-15,"American-grown EKG; derived from wild Canterbury Whitebine, first grown in the US in the early 1990s",https://brulosophy.com/2022/09/15/the-hop-chronicles-us-goldings-2020-pale-ale/
US ProvOAK,2018,USA,Pale Ale,2020-03-26,,https://brulosophy.com/2020/03/26/the-hop-chronicles-us-provoak-2018/
US Saaz,2022,USA,Pale Lager,2024-10-28,,https://brulosophy.com/2024/10/28/the-hop-chronicles-us-saaz-2022-pale-lager/
USDA 008,2015,USA,Pale Ale,2016-01-07,,https://brulosophy.com/2016/01/07/the-hop-chronicles-usda-008/
Vic Secret,2017,Australia,Pale Ale,2018-02-01,"Developed in Victoria, Australia in 2000",https://brulosophy.com/2018/02/01/the-hop-chronicles-vic-secret-2017/
Vinnie Special Experimental,2014,USA,Pale Ale,2016-01-28,,https://brulosophy.com/2016/01/28/the-hop-chronicles-vinnie-special-experimental/
Vista,2022,USA,Pale Ale,2023-08-10,"Relatively high alpha; tropical fruit, stone fruit, melon. Top descriptors: citrus, tropical fruit, melon",https://brulosophy.com/2023/08/10/the-hop-chronicles-vista-2022-pale-ale/
Vista,2023,USA,Pale Lager,2025-11-10,,https://brulosophy.com/2025/11/10/the-hop-chronicles-vista-2023-pale-lager/
Waimea,2018,New Zealand,Pale Ale,2020-01-16,,https://brulosophy.com/2020/01/16/the-hop-chronicles-waimea-2018/
Warrior,2018,USA,Pale Ale,2020-02-20,,https://brulosophy.com/2020/02/20/the-hop-chronicles-warrior-2018/
Willamette,2016,USA,Pale Ale,2017-05-04,Mellow hop imparting both earthy and floral notes,https://brulosophy.com/2017/05/04/the-hop-chronicles-willamette/
Zamba,2021,USA,Pale Ale,2024-03-04,"First proprietary release of the BSG Hop Solutions Program; pineapple, mango, tangerine, candy — late kettle and dry hop",https://brulosophy.com/2024/03/04/the-hop-chronicles-zamba-2021-pale-ale/
